raza,vida_min,vida_max,vida_promedio,peso_macho_max,peso_hembra_max,peso_promedio,categoria_peso,diferencia_sexual_peso,hipoalergenico,fecha_extraccion
English Cocker Spaniel,12,14,13.0,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.083444
English Foxhound,12,15,13.5,29,27,28.0,Mediano,2,False,2026-03-26T12:16:51.083447
English Setter,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083450
English Springer Spaniel,12,14,13.0,17,17,17.0,Pequeño,0,False,2026-03-26T12:16:51.083454
English Toy Spaniel,14,16,15.0,5,5,5.0,Muy pequeño,0,False,2026-03-26T12:16:51.083457
Entlebucher Mountain Dog,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083460
Estrela Mountain Dog,12,14,13.0,60,50,55.0,Gigante,10,False,2026-03-26T12:16:51.083464
Eurasier,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083467
Field Spaniel,12,14,13.0,18,18,18.0,Pequeño,0,False,2026-03-26T12:16:51.083470
Finnish Lapphund,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083476
Finnish Spitz,14,16,15.0,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.083479
Flat-Coated Retriever,10,12,11.0,34,32,33.0,Grande,2,False,2026-03-26T12:16:51.083482
French Bulldog,10,12,11.0,14,14,14.0,Pequeño,0,False,2026-03-26T12:16:51.083486
French Spaniel,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083489
German Longhaired Pointer,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083492
German Pinscher,12,15,13.5,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083496
German Shepherd Dog,9,13,11.0,40,32,36.0,Grande,8,False,2026-03-26T12:16:51.083499
German Shorthaired Pointer,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083502
German Spitz,14,16,15.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083506
German Wirehaired Pointer,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083511
Giant Schnauzer,12,14,13.0,70,70,70.0,Gigante,0,False,2026-03-26T12:16:51.083515
Glen of Imaal Terrier,12,14,13.0,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.083518
Golden Retriever,12,14,13.0,34,32,33.0,Grande,2,False,2026-03-26T12:16:51.083521
Gordon Setter,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083524
Grand Basset Griffon Vendéen,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083528
Great Dane,8,10,9.0,54,54,54.0,Gigante,0,False,2026-03-26T12:16:51.083531
Greater Swiss Mountain Dog,8,10,9.0,70,60,65.0,Gigante,10,False,2026-03-26T12:16:51.083534
Great Pyrenees,10,12,11.0,45,45,45.0,Gigante,0,False,2026-03-26T12:16:51.083538
Greyhound,10,12,11.0,40,40,40.0,Grande,0,False,2026-03-26T12:16:51.083541
Hamiltonstovare,12,14,13.0,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.083547
Hanoverian Scenthound,12,14,13.0,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.083550
Harrier,12,15,13.5,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.083554
Havanese,14,16,15.0,5,5,5.0,Muy pequeño,0,False,2026-03-26T12:16:51.083557
Hokkaido,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083560
Hovawart,12,14,13.0,45,40,42.5,Grande,5,False,2026-03-26T12:16:51.083563
Ibizan Hound,12,15,13.5,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.083567
Icelandic Sheepdog,14,16,15.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083572
Irish Red and White Setter,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083576
Irish Setter,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083579
Irish Terrier,12,15,13.5,9,9,9.0,Muy pequeño,0,False,2026-03-26T12:16:51.083584
Irish Water Spaniel,12,14,13.0,32,32,32.0,Grande,0,True,2026-03-26T12:16:51.083588
Irish Wolfhound,6,8,7.0,90,90,90.0,Gigante,0,False,2026-03-26T12:16:51.083591
Italian Greyhound,14,16,15.0,5,5,5.0,Muy pequeño,0,True,2026-03-26T12:16:51.083596
Jagdterrier,12,15,13.5,10,10,10.0,Pequeño,0,False,2026-03-26T12:16:51.083600
Japanese Akitainu,12,15,13.5,50,45,47.5,Gigante,5,False,2026-03-26T12:16:51.083603
Japanese Chin,12,14,13.0,4,4,4.0,Muy pequeño,0,False,2026-03-26T12:16:51.083606
Japanese Spitz,12,15,13.5,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083609
Japanese Terrier,15,20,17.5,4,4,4.0,Muy pequeño,0,False,2026-03-26T12:16:51.083613
Jindo,12,15,13.5,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083616
Kai Ken,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083622
Karelian Bear Dog,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083625
Keeshond,12,15,13.5,18,18,18.0,Pequeño,0,False,2026-03-26T12:16:51.083629
Kerry Blue Terrier,12,14,13.0,17,17,17.0,Pequeño,0,True,2026-03-26T12:16:51.083632
Kishu Ken,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083635
Komondor,10,12,11.0,70,60,65.0,Gigante,10,False,2026-03-26T12:16:51.083639
Kromfohrlander,12,14,13.0,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083642
Kuvasz,12,14,13.0,50,45,47.5,Gigante,5,False,2026-03-26T12:16:51.083645
Labrador Retriever,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083648
Lagotto Romagnolo,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083652
Lakeland Terrier,12,15,13.5,9,9,9.0,Muy pequeño,0,False,2026-03-26T12:16:51.083658
Lancashire Heeler,12,15,13.5,11,11,11.0,Pequeño,0,False,2026-03-26T12:16:51.083661
Lapponian Herder,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083665
Leonberger,8,10,9.0,80,65,72.5,Gigante,15,False,2026-03-26T12:16:51.083668
Lhasa Apso,14,16,15.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083671
Löwchen,12,15,13.5,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083675
Maltese,12,14,13.0,4,4,4.0,Muy pequeño,0,True,2026-03-26T12:16:51.083678
Manchester Terrier (Standard),12,15,13.5,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083681
Manchester Terrier (Toy),12,15,13.5,5,5,5.0,Muy pequeño,0,False,2026-03-26T12:16:51.083684
Mastiff,6,8,7.0,90,70,80.0,Gigante,20,False,2026-03-26T12:16:51.083688
Miniature American Shepherd,12,14,13.0,14,14,14.0,Pequeño,0,False,2026-03-26T12:16:51.083693
Miniature Bull Terrier,12,15,13.5,14,14,14.0,Pequeño,0,False,2026-03-26T12:16:51.083696
Miniature Pinscher,14,16,15.0,4,4,4.0,Muy pequeño,0,True,2026-03-26T12:16:51.083700
Miniature Schnauzer,12,15,13.5,7,7,7.0,Muy pequeño,0,True,2026-03-26T12:16:51.083703
